observed_at,source,origin,destination,departure_date,advance_days,airline,flight_number,cabin_class,base_fare,taxes_fees,total_fare
2026-08-29 16:19:32,Google_Flights_Aggregator,BOM,DEL,2026-09-28,30,Air India Express,AI-Quote,Economy,7524.88,1026.12,8551.0
2026-08-29 16:19:43,Google_Flights_Aggregator,BOM,DEL,2026-10-13,45,Air India,AI-Quote,Economy,7304.88,996.12,8301.0
2026-08-29 16:19:43,Google_Flights_Aggregator,BOM,DEL,2026-10-13,45,SpiceJet,SG-Quote,Economy,1323.52,180.48,1504.0
2026-08-29 16:19:43,Google_Flights_Aggregator,BOM,DEL,2026-10-13,45,IndiGo,6E-Quote,Economy,7920.88,1080.12,9001.0
2026-08-29 16:19:49,Google_Flights_Aggregator,DEL,BLR,2026-08-30,1,IndiGo,6E-Quote,Economy,6160.88,840.12,7001.0
2026-08-29 16:19:49,Google_Flights_Aggregator,DEL,BLR,2026-08-30,1,Air India,AI-Quote,Economy,3790.16,516.84,4307.0
2026-08-29 16:19:49,Google_Flights_Aggregator,DEL,BLR,2026-08-30,1,IndiGo,6E-Quote,Economy,4803.04,654.96,5458.0
2026-08-29 16:19:58,Google_Flights_Aggregator,DEL,BLR,2026-09-05,7,Air India,AI-Quote,Economy,5287.04,720.96,6008.0
2026-08-29 16:19:58,Google_Flights_Aggregator,DEL,BLR,2026-09-05,7,Air India,AI-Quote,Economy,5551.92,757.08,6309.0
2026-08-29 16:20:09,Google_Flights_Aggregator,DEL,BLR,2026-09-13,15,Air India Express,AI-Quote,Economy,7920.88,1080.12,9001.0
2026-08-29 16:20:09,Google_Flights_Aggregator,DEL,BLR,2026-09-13,15,IndiGo,6E-Quote,Economy,7436.88,1014.12,8451.0
2026-08-29 16:20:16,Google_Flights_Aggregator,DEL,BLR,2026-09-28,30,Air India,AI-Quote,Economy,3790.16,516.84,4307.0
2026-08-29 16:20:16,Google_Flights_Aggregator,DEL,BLR,2026-09-28,30,Akasa Air,QP-Quote,Economy,3878.16,528.84,4407.0
2026-08-29 16:20:24,Google_Flights_Aggregator,DEL,BLR,2026-10-13,45,IndiGo,6E-Quote,Economy,2028.4,276.6,2305.0
2026-08-29 16:20:24,Google_Flights_Aggregator,DEL,BLR,2026-10-13,45,IndiGo,6E-Quote,Economy,3041.28,414.72,3456.0
2026-08-29 16:20:31,Google_Flights_Aggregator,BLR,DEL,2026-08-30,1,Air India,AI-Quote,Economy,4671.04,636.96,5308.0
2026-08-29 16:20:31,Google_Flights_Aggregator,BLR,DEL,2026-08-30,1,Akasa Air,QP-Quote,Economy,3658.16,498.84,4157.0
2026-08-29 16:20:31,Google_Flights_Aggregator,BLR,DEL,2026-08-30,1,IndiGo,6E-Quote,Economy,4450.16,606.84,5057.0
2026-08-29 16:20:38,Google_Flights_Aggregator,BLR,DEL,2026-09-05,7,Air India,AI-Quote,Economy,4671.04,636.96,5308.0
2026-08-29 16:20:38,Google_Flights_Aggregator,BLR,DEL,2026-09-05,7,Air India,AI-Quote,Economy,5287.04,720.96,6008.0
2026-08-29 16:20:48,Google_Flights_Aggregator,BLR,DEL,2026-09-13,15,IndiGo,6E-Quote,Economy,7172.88,978.12,8151.0
2026-08-29 16:20:49,Google_Flights_Aggregator,BLR,DEL,2026-09-13,15,Air India,AI-Quote,Economy,5287.04,720.96,6008.0
2026-08-29 16:20:49,Google_Flights_Aggregator,BLR,DEL,2026-09-13,15,Akasa Air,QP-Quote,Economy,5331.04,726.96,6058.0
2026-08-29 16:20:55,Google_Flights_Aggregator,BLR,DEL,2026-09-28,30,IndiGo,6E-Quote,Economy,7172.88,978.12,8151.0
2026-08-29 16:20:55,Google_Flights_Aggregator,BLR,DEL,2026-09-28,30,Air India,AI-Quote,Economy,5287.04,720.96,6008.0
2026-08-29 16:20:55,Google_Flights_Aggregator,BLR,DEL,2026-09-28,30,Akasa Air,QP-Quote,Economy,5331.04,726.96,6058.0
2026-08-29 16:21:02,Google_Flights_Aggregator,BLR,DEL,2026-10-13,45,IndiGo,6E-Quote,Economy,7172.88,978.12,8151.0
2026-08-29 16:21:02,Google_Flights_Aggregator,BLR,DEL,2026-10-13,45,Akasa Air,QP-Quote,Economy,5331.04,726.96,6058.0
2026-08-29 16:21:05,Google_Flights_Aggregator,BLR,DEL,2026-10-13,45,Air India,AI-Quote,Economy,5285.28,720.72,6006.0
2026-08-29 16:21:11,Google_Flights_Aggregator,BOM,BLR,2026-08-30,1,Air India,AI-Quote,Economy,1807.52,246.48,2054.0
2026-08-29 16:21:12,Google_Flights_Aggregator,BOM,BLR,2026-08-30,1,IndiGo,6E-Quote,Economy,5551.04,756.96,6308.0
2026-08-29 16:21:12,Google_Flights_Aggregator,BOM,BLR,2026-08-30,1,Akasa Air,QP-Quote,Economy,1091.2,148.8,1240.0
2026-08-29 16:21:21,Google_Flights_Aggregator,BOM,BLR,2026-09-05,7,IndiGo,6E-Quote,Economy,3789.28,516.72,4306.0
2026-08-29 16:21:21,Google_Flights_Aggregator,BOM,BLR,2026-09-05,7,Air India,AI-Quote,Economy,4670.16,636.84,5307.0
2026-08-29 16:21:21,Google_Flights_Aggregator,BOM,BLR,2026-09-05,7,Akasa Air,QP-Quote,Economy,1091.2,148.8,1240.0
2026-08-29 16:21:30,Google_Flights_Aggregator,BOM,BLR,2026-09-13,15,IndiGo,6E-Quote,Economy,3789.28,516.72,4306.0
2026-08-29 16:21:30,Google_Flights_Aggregator,BOM,BLR,2026-09-13,15,Air India,AI-Quote,Economy,1807.52,246.48,2054.0
2026-08-29 16:21:35,Google_Flights_Aggregator,BOM,BLR,2026-09-28,30,IndiGo,6E-Quote,Economy,3789.28,516.72,4306.0
2026-08-29 16:21:36,Google_Flights_Aggregator,BOM,BLR,2026-09-28,30,Air India,AI-Quote,Economy,4670.16,636.84,5307.0
2026-08-29 16:21:36,Google_Flights_Aggregator,BOM,BLR,2026-09-28,30,Akasa Air,QP-Quote,Economy,5463.04,744.96,6208.0
2026-08-29 16:21:45,Google_Flights_Aggregator,BOM,BLR,2026-10-13,45,IndiGo,6E-Quote,Economy,1082.4,147.6,1230.0
2026-08-29 16:21:45,Google_Flights_Aggregator,BOM,BLR,2026-10-13,45,Akasa Air,QP-Quote,Economy,4714.16,642.84,5357.0
2026-08-29 16:21:45,Google_Flights_Aggregator,BOM,BLR,2026-10-13,45,Akasa Air,QP-Quote,Economy,7091.92,967.08,8059.0
2026-08-29 16:21:53,Google_Flights_Aggregator,BLR,BOM,2026-08-30,1,Air India,AI-Quote,Economy,5595.04,762.96,6358.0
2026-08-29 16:21:53,Google_Flights_Aggregator,BLR,BOM,2026-08-30,1,IndiGo,6E-Quote,Economy,6387.92,871.08,7259.0
2026-08-29 16:21:53,Google_Flights_Aggregator,BLR,BOM,2026-08-30,1,Akasa Air,QP-Quote,Economy,5463.04,744.96,6208.0
2026-08-29 16:22:02,Google_Flights_Aggregator,BLR,BOM,2026-09-05,7,IndiGo,6E-Quote,Economy,4670.16,636.84,5307.0
2026-08-29 16:22:10,Google_Flights_Aggregator,BLR,BOM,2026-09-13,15,IndiGo,6E-Quote,Economy,3040.4,414.6,3455.0
2026-08-29 16:22:18,Google_Flights_Aggregator,BLR,BOM,2026-09-28,30,IndiGo,6E-Quote,Economy,4670.16,636.84,5307.0
2026-08-29 16:22:18,Google_Flights_Aggregator,BLR,BOM,2026-09-28,30,Air India,AI-Quote,Economy,1939.52,264.48,2204.0
2026-08-29 16:22:26,Google_Flights_Aggregator,BLR,BOM,2026-10-13,45,Akasa Air,QP-Quote,Economy,3568.4,486.6,4055.0
2026-08-29 16:22:26,Google_Flights_Aggregator,BLR,BOM,2026-10-13,45,IndiGo,6E-Quote,Economy,6211.04,846.96,7058.0
2026-08-29 16:22:26,Google_Flights_Aggregator,BLR,BOM,2026-10-13,45,Air India,AI-Quote,Economy,1939.52,264.48,2204.0
2026-08-29 16:22:33,Google_Flights_Aggregator,DEL,CCU,2026-08-30,1,Akasa Air,QP-Quote,Economy,4891.04,666.96,5558.0
2026-08-29 16:22:42,Google_Flights_Aggregator,DEL,CCU,2026-09-05,7,IndiGo,6E-Quote,Economy,3703.92,505.08,4209.0
2026-08-29 16:22:42,Google_Flights_Aggregator,DEL,CCU,2026-09-05,7,SpiceJet,SG-Quote,Economy,7128.88,972.12,8101.0
2026-08-29 16:22:42,Google_Flights_Aggregator,DEL,CCU,2026-09-05,7,Akasa Air,QP-Quote,Economy,4891.04,666.96,5558.0
2026-08-29 16:22:51,Google_Flights_Aggregator,DEL,CCU,2026-09-13,15,IndiGo,6E-Quote,Economy,2118.16,288.84,2407.0
2026-08-29 16:22:51,Google_Flights_Aggregator,DEL,CCU,2026-09-13,15,Akasa Air,QP-Quote,Economy,4891.04,666.96,5558.0
2026-08-29 16:22:51,Google_Flights_Aggregator,DEL,CCU,2026-09-13,15,Air India,AI-Quote,Economy,5639.04,768.96,6408.0
2026-08-29 16:22:59,Google_Flights_Aggregator,DEL,CCU,2026-09-28,30,IndiGo,6E-Quote,Economy,7040.88,960.12,8001.0
2026-08-29 16:22:59,Google_Flights_Aggregator,DEL,CCU,2026-09-28,30,SpiceJet,SG-Quote,Economy,7128.88,972.12,8101.0
2026-08-29 16:22:59,Google_Flights_Aggregator,DEL,CCU,2026-09-28,30,Akasa Air,QP-Quote,Economy,4891.04,666.96,5558.0
2026-08-29 16:23:06,Google_Flights_Aggregator,DEL,CCU,2026-10-13,45,IndiGo,6E-Quote,Economy,7040.88,960.12,8001.0
2026-08-29 16:23:06,Google_Flights_Aggregator,DEL,CCU,2026-10-13,45,IndiGo,6E-Quote,Economy,6512.88,888.12,7401.0
2026-08-29 16:23:06,Google_Flights_Aggregator,DEL,CCU,2026-10-13,45,SpiceJet,SG-Quote,Economy,7128.88,972.12,8101.0
2026-08-29 16:23:14,Google_Flights_Aggregator,CCU,DEL,2026-08-30,1,Air India,AI-Quote,Economy,7304.88,996.12,8301.0
2026-08-29 16:23:14,Google_Flights_Aggregator,CCU,DEL,2026-08-30,1,Akasa Air,QP-Quote,Economy,7964.88,1086.12,9051.0
2026-08-29 16:23:14,Google_Flights_Aggregator,CCU,DEL,2026-08-30,1,IndiGo,6E-Quote,Economy,7260.88,990.12,8251.0
2026-08-29 16:23:23,Google_Flights_Aggregator,CCU,DEL,2026-09-05,7,Akasa Air,QP-Quote,Economy,7084.88,966.12,8051.0
2026-08-29 16:23:23,Google_Flights_Aggregator,CCU,DEL,2026-09-05,7,IndiGo,6E-Quote,Economy,1056.0,144.0,1200.0
2026-08-29 16:23:39,Google_Flights_Aggregator,CCU,DEL,2026-09-28,30,Akasa Air,QP-Quote,Economy,7084.88,966.12,8051.0
2026-08-29 16:23:39,Google_Flights_Aggregator,CCU,DEL,2026-09-28,30,Akasa Air,QP-Quote,Economy,7964.88,1086.12,9051.0
2026-08-29 16:23:55,Google_Flights_Aggregator,CCU,DEL,2026-10-13,45,IndiGo,6E-Quote,Economy,6248.88,852.12,7101.0
2026-08-29 16:23:55,Google_Flights_Aggregator,CCU,DEL,2026-10-13,45,IndiGo,6E-Quote,Economy,1763.52,240.48,2004.0
